      n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   8728,         12706,            3979,              0,     58142,           0,          0
   8729,         12707,            3979,              0,     58143,           0,          0
   8730,         12709,            3980,              0,     58174,           0,          0
   8731,         12710,            3980,              0,     58113,           0,          0
   8732,         12711,            3980,              0,     58188,           0,          0
   8733,         12712,            3980,              0,     58194,           0,          0
   8734,         12713,            3980,              0,     58193,           0,          0
   8735,         12716,            3982,              0,     58259,           0,          0
   8736,         12717,            3982,              0,     58203,           0,          0
   8737,         12718,            3982,              0,     58202,           0,          0
   8738,         12719,            3982,              0,     58231,           0,          0
   8739,         12720,            3982,              0,     58200,           0,          0
   8740,         12721,            3982,              0,     58239,           0,          0
   8741,         12722,            3982,              0,     58227,           0,          0
   8742,         12725,            3984,              0,     58270,           0,          0
   8743,         12726,            3984,              0,     58240,           0,          0
   8744,         12727,            3984,              0,     58224,           0,          0
   8745,         12729,            3985,              0,     58239,           0,          0
   8746,         12732,            3987,              0,     58235,           0,          0
   8747,         12733,            3987,              0,     58251,           0,          0
   8748,         12734,            3987,              0,     58304,           0,          0
   8749,         12735,            3987,              0,     58308,           0,          0
   8750,         12737,            3988,              0,     58283,           0,          0
   8751,         12739,            3989,              0,     58287,           0,          0
   8752,         12742,            3991,              0,     58354,           0,          0
   8753,         12745,            3993,              0,     58352,           0,          0
   8754,         12746,            3993,              0,     58349,           0,          0
   8755,         12747,            3993,              0,     58340,           0,          0
   8756,         12749,            3994,              0,     58309,           0,          0
   8757,         12750,            3994,              0,     58311,           0,          0
   8758,         12751,            3994,              0,     58379,           0,          0
   8759,         12752,            3994,              0,     58405,           0,          0
   8760,         12753,            3994,              0,     58356,           0,          0
   8761,         12754,            3994,              0,     58338,           0,          0
   8762,         12755,            3994,              0,     58372,           0,          0
   8763,         12756,            3994,              0,     58374,           0,          0
   8764,         12758,            3995,              0,     58369,           0,          0
   8765,         12759,            3995,              0,     58375,           0,          0
   8766,         12760,            3995,              0,     58396,           0,          0
   8767,         12762,            3996,              0,     58424,           0,          0
   8768,         12764,            3997,              0,     58384,           0,          0
   8769,         12765,            3997,              0,     58387,           0,          0
   8770,         12766,            3997,              0,     58439,           0,          0
   8771,         12767,            3997,              0,     58411,           0,          0
   8772,         12768,            3997,              0,     58439,           0,          0
   8773,         12769,            3997,              0,     58432,           0,          0
   8774,         12770,            3997,              0,     58415,           0,          0
   8775,         12772,            3998,              0,     58412,           0,          0
   8776,         12773,            3998,              0,     58414,           0,          0
   8777,         12774,            3998,              0,     58415,           0,          0
   8778,         12775,            3998,              0,     58491,           0,          0
   8779,         12776,            3998,              0,     58470,           0,          0
   8780,         12777,            3998,              0,     58490,           0,          0
   8781,         12778,            3998,              0,     58484,           0,          0
   8782,         12779,            3998,              0,     58498,           0,          0
   8783,         12780,            3998,              0,     58459,           0,          0
   8784,         12782,            3999,              0,     58475,           0,          0
   8785,         12784,            4000,              0,     58492,           0,          0
   8786,         12785,            4000,              0,     58452,           0,          0
   8787,         12786,            4000,              0,     58479,           0,          0
   8788,         12787,            4000,              0,     58476,           0,          0
   8789,         12788,            4000,              0,     58492,           0,          0
   8790,         12792,            4003,              0,     58507,           0,          0
