   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
349,29832,29488,18854,2515,0,999
350,30163,29818,18787,2522,0,999
351,30196,29850,17682,2543,0,998
352,30502,30155,19019,2550,0,1000
353,30661,30313,17527,2562,0,1003
354,30999,30650,18022,2574,0,1000
355,31235,30885,18026,2575,0,1000
356,31469,31118,18017,2572,0,1007
357,31496,31144,19017,2585,0,1006
358,31581,31228,18528,2596,0,1006
359,31903,31549,20551,2613,0,998
360,31975,31620,19911,2614,0,999
361,32202,31846,19015,2621,0,1000
362,32492,32135,19647,2624,0,999
363,32704,32346,19113,2623,0,997
364,33028,32669,20022,2667,0,1000
365,33065,32705,20098,2670,0,993
366,33324,32963,19692,2671,0,1001
367,33516,33154,20671,2685,0,999
368,33529,33166,19522,2671,0,0
369,33717,33353,18519,2680,0,1505
370,33913,33548,20024,2684,0,1007
371,33997,33631,20023,2693,0,1001
372,34205,33838,22027,2708,0,1505
373,34466,34098,21029,2720,0,1000
374,34522,34153,20020,2737,0,1000
375,34531,34161,20014,2730,0,1502
376,34589,34218,21021,2734,0,1002
377,34803,34431,22125,2746,0,1000
378,35062,34689,21017,2768,0,1000
379,35257,34883,20037,2767,0,1522
380,35567,35192,21016,2775,0,999
381,35938,35562,21018,2774,0,1000
382,36039,35662,21619,2792,0,1000
383,36421,36043,20739,2805,0,1502
384,36746,36367,22020,2803,0,1002
385,36972,36592,21017,2812,0,1000
386,37178,36797,21517,2822,0,997
387,37310,36928,21523,2836,0,999
388,37429,37046,21826,2836,0,1000
389,37507,37123,22861,2841,0,1002
390,37838,37453,26122,2859,0,1000
391,37984,37598,23025,2865,0,1339
392,38182,37795,22031,2877,0,1002
393,38499,38111,23013,2886,0,1000
394,38817,38428,24676,2912,0,1000
395,39153,38763,23018,2910,0,1000
396,39259,38868,27595,2917,0,993
397,39562,39170,24565,2932,0,1000
398,39955,39562,23540,2925,0,1020
399,40252,39858,23257,2924,0,1003
400,40513,40118,24015,2966,0,999
401,40634,40238,23522,2974,0,999
402,40717,40320,24534,2961,0,1000
403,40951,40553,23524,2969,0,999
404,41354,40956,24014,2986,0,1000
405,41362,40963,24526,3003,0,1000
406,41431,41031,25520,3011,0,0
407,41509,41108,25500,3007,0,999
408,41828,41426,24523,3025,0,999
409,42131,41728,24526,3035,0,1998
410,42475,42071,24804,3031,0,998
411,42871,42466,24514,3042,0,2005
412,43063,42657,25010,3062,0,1999
413,43172,42765,25529,3082,0,1503
414,43199,42791,25531,3067,0,1018
415,43481,43072,27552,3076,0,1007
416,43544,43134,25027,3093,0,999
417,43648,43237,27044,3101,0,998
418,43872,43460,27592,3110,0,999
419,43979,43566,25526,3126,0,1000
420,44099,43685,27526,3136,0,1007
421,44243,43828,27268,3143,0,1505
422,44443,44027,27030,3155,0,0
423,44572,44155,28555,3157,0,999
424,44961,44543,26610,3163,0,1000
425,45218,44799,28527,3175,0,1002
426,45420,45000,35035,3185,0,2003
427,45482,45061,28035,3194,0,1003
428,45531,45109,27020,3192,0,1502
429,45699,45276,27857,3205,0,999
430,45713,45289,28482,3208,0,998
431,45755,45330,27033,3218,0,2000
432,45808,45382,26528,3242,0,999
433,46132,45705,27521,3253,0,2000
434,46327,45899,27051,3260,0,1000
435,46383,45954,27550,3266,0,2005
436,46533,46103,27022,3271,0,1507
437,46714,46283,27030,3281,0,1002
438,46827,46395,28051,3295,0,1000
439,46950,46517,27531,3293,0,2000
440,46984,46550,27067,3306,0,999
441,47226,46791,27637,3316,0,1999
442,47280,46844,27537,3307,0,1001
443,47294,46857,27530,3310,0,1000
444,47481,47043,33048,3332,0,1000
445,47907,47468,28170,3331,0,2000
446,48298,47858,29544,3352,0,0
447,48726,48285,29020,3368,0,1508
448,49080,48638,29138,3393,0,1296
449,49407,48964,29058,3400,0,999
450,49779,49335,29532,3402,0,1000
451,50229,49784,32058,3402,0,2000
452,50238,49792,32051,3426,0,1000
453,50362,49915,29220,3427,0,999
454,50539,50091,32075,3426,0,1000
455,50705,50256,32249,3445,0,1503
456,51056,50606,30539,3462,0,997
457,51376,50925,31034,3465,0,999
458,51488,51036,30485,3471,0,1998
459,51930,51477,30528,3476,0,1001
460,52211,51757,33225,3507,0,999
461,52312,51857,31536,3513,0,1000
462,52337,51881,31520,3506,0,999
463,52799,52343,31148,3521,0,1033
464,53153,52696,32539,3528,0,998
465,53192,52734,32556,3535,0,981
466,53218,52759,32645,3537,0,999
467,53227,52767,32137,3549,0,2000
468,53438,52977,31548,3559,0,1999
469,53485,53023,31176,3562,0,999
470,53747,53284,32531,3584,0,999
471,54169,53705,32280,3585,0,1506
472,54200,53735,37030,3613,0,1502
473,54556,54090,32544,3618,0,1999
474,54867,54400,33538,3601,0,1506
475,55113,54645,35269,3624,0,1999
476,55459,54990,32368,3633,0,2369
477,55930,55460,33578,3640,0,975
478,55935,55464,33664,3658,0,1006
479,56222,55750,33540,3679,0,2000
480,56383,55910,33581,3671,0,999
481,56832,56358,35466,3678,0,1000
482,57118,56643,33669,3693,0,2000
483,57196,56720,35065,3706,0,1504
484,57220,56743,34530,3693,0,1998
485,57395,56917,34007,3702,0,999
486,57517,57038,36535,3721,0,1504
487,57601,57121,35551,3737,0,1998
488,57607,57126,35039,3733,0,1999
489,57824,57342,34528,3745,0,1502
490,57908,57425,33565,3749,0,1000
491,58281,57797,35096,3774,0,999
492,58762,58277,36560,3774,0,1000
493,59007,58521,34528,3781,0,2000
494,59048,58561,35555,3788,0,1000
495,59234,58746,35537,3808,0,1507
496,59578,59089,35524,3811,0,1000
497,59838,59348,35532,3820,0,1999
498,60039,59548,35032,3832,0,2004
499,60278,59786,37607,3841,0,998
500,60441,59948,35521,3855,0,1505
501,60642,60148,36399,3863,0,1000
502,61134,60639,37400,3858,0,2001
503,61179,60683,35981,3868,0,1000
504,61482,60985,36034,3903,0,2006
505,61583,61085,38570,3906,0,1003
506,61942,61443,38637,3910,0,3307
507,62295,61795,45130,3905,0,1563
508,62685,62184,37000,3924,0,999
509,63023,62521,37039,3928,0,2016
510,63265,62762,36767,3939,0,1979
511,63291,62787,37881,3935,0,2000
512,63644,63139,44062,3957,0,2004
513,64116,63610,39822,3967,0,1999
514,64133,63626,37174,3979,0,998
515,64411,63903,38419,3997,0,1000
516,64865,64356,39197,3991,0,1019
517,65286,64776,38058,4008,0,2003
518,65525,65014,39038,4018,0,1000
519,65633,65121,41036,4024,0,1999
520,66017,65504,46592,4015,0,1999
521,66514,66000,40056,4028,0,1999
522,66648,66133,39582,4042,0,999
523,67065,66549,40044,4058,0,1515
524,67150,66633,40599,4070,0,1998
525,67218,66700,40100,4086,0,2001
526,67512,66993,39524,4087,0,1999
527,67993,67473,41031,4100,0,1510
528,68223,67702,40102,4103,0,1998
529,68454,67932,39482,4116,0,999
530,68637,68114,42049,4132,0,2001
531,69139,68615,43181,4132,0,1998
532,69502,68977,41788,4135,0,1997
533,69919,69393,42586,4146,0,2007
534,70080,69553,41049,4160,0,2000
535,70591,70063,43042,4176,0,1004
536,70701,70172,43121,4162,0,998
537,70708,70178,43929,4173,0,1550
538,70864,70333,41557,4179,0,1999
539,71311,70779,44542,4204,0,1005
540,71551,71018,43127,4225,0,1000
541,71690,71156,45584,4236,0,2005
542,72072,71537,42552,4244,0,996
543,72551,72015,43534,4244,0,1003
544,72660,72123,43037,4273,0,998
545,73016,72478,43484,4283,0,2004
546,73377,72838,43036,4272,0,1999
